Kitap Adı,Yazar,Okumak İsteyenler,Şu Anda Okuyanlar,Okumuş Olanlar,Zaman,Dil,Sayfa Sayısı,Yayıncı
Le temps paralysé,by Dean Koontz,57,3,17,1990,Fransızca,443,J'ai Lu
The People of Sparks,Book of Ember #2,102,8,26,2004,İngilizce,338,Random House
A deepness in the sky,by Vernor Vinge,55,2,46,1999,İngilizce,606,Millennium
The Ultimate Hitchhiker's Guide to the Galaxy,Five Novels and One Story,120,7,128,2014,İngilizce,815,Harmony Books
To Sleep in a Sea of Stars,by Christopher Paolini,123,26,0,"Jul 20, 2021",Dil bilgisi yok,Sayfa sayısı bilgisi yok,PAN MACMILLAN
Doomsday book,by Connie Willis,77,29,0,1993,İngilizce,578,Bantam Books
A Discovery of Witches,by Deborah E. Harkness,357,32,70,"Sep 01, 2011",İngilizce,720,"Headline, imusti"
Kokuritsu Kokkai Toshokan shozō Meijiki kankō tosho maikuro-ban shūsei,"Denki : Monshō, Kiishō, ACH",12,2,0,1991,Japonca,Sayfa sayısı bilgisi yok,Maruzen kabushiki Kaisha
The darkest minds,"by Alexandra Bracken, Amy McFadden ve Montserrat Triviño Gonzalez",480,42,52,2013,İngilizce,488,HarperCollins
Dhalgren,by Samuel R. Delany,74,1,12,1996,İngilizce,801,"Wesleyan University Press, University Press of New England"
The 5th Wave,We Fight Back,112,8,30,2015,İngilizce,496,"Penguin Books, Limited, Penguin Books"
Pretties,by Scott Westerfeld,187,10,40,"Apr 04, 2010",Dil bilgisi yok,Sayfa sayısı bilgisi yok,Simon & Schuster UK
The Lost Continent,by C. J. Cutcliffe Hyne,11,1,0,2017,İngilizce,Sayfa sayısı bilgisi yok,Standard Ebooks
Ludzie na drzewach,by Hanya Yanagihara,98,5,8,"Jul 20, 2017",Lehçe,576,W.A.B. / GW Foksal
"Moreta, dragonlady of Pern",by Anne McCaffrey,50,1,22,1984,İngilizce,359,Ballantine Books
Her Body and Other Parties: Stories,by Carmen Maria Machado ve Amy Landon,135,2,15,"Oct 03, 2017",İngilizce,248,Graywolf Press
Wo shi chuan qi,by Richard Matheson,95,6,37,2007,Çince,431,Chun tian chu ban guo ji wen hua you xian gong si
The Mysterious Benedict Society,by Trenton Lee Stewart,162,8,30,"Apr 17, 2008",Dil bilgisi yok,Sayfa sayısı bilgisi yok,The Chicken House
The Hour of the Dragon,by Robert E. Howard,7,2,0,1977,İngilizce,296,Putnam
"Girl, Woman, Other",by Bernardine Evaristo,106,3,7,2019-12,İngilizce,Sayfa sayısı bilgisi yok,Black Cat
A Darkest Minds Novel: Never Fade: Book 2,by Alexandra Bracken ve Alexander Bracken,169,7,20,"Yayıncı
Quercus Children's Books",Dil bilgisi yok,Sayfa sayısı bilgisi yok,Yayıncı bilgisi yok
Ignite Me,by Tahereh Mafi,1089,70,84,February 4th 2014,İngilizce,416,"HarperCollins, Harpercollins"
Maze Runner Prequel,The Kill Order,137,4,22,"Sep 03, 2015",Dil bilgisi yok,Sayfa sayısı bilgisi yok,"imusti, Chicken House Ltd"
John Dies at the End,by David Wong,86,4,36,2010,İngilizce,Sayfa sayısı bilgisi yok,Thomas Dunne Books
Recursion EXPORT,by Blake Crouch,165,3,72,İngilizce,Sayfa sayısı bilgisi yok,Thomas Dunne Books
Macmillan",Dil bilgisi yok,Sayfa sayısı bilgisi yok,Yayıncı bilgisi yok
Star Wars: Ahsoka,by E. K. Johnston,99,4,19,"Mar 01, 2017",Dil bilgisi yok,Sayfa sayısı bilgisi yok,"Panini Verlags GmbH, Panini Verlags Gmbh"
Magic Kingdom for Sale/Sold!,by Terry Brooks,49,4,22,1986,İngilizce,352,Futura Pubns.
In search of the unknown.,by Robert W. Chambers,4,3,0,1974,İngilizce,285,Hyperion Press
Maximum Ride,by NaRae Lee,118,6,15,2013,İngilizce,209,Yen Press
A Memory Called Empire,by Arkady Martine,104,42,0,2019,Dil bilgisi yok,Sayfa sayısı bilgisi yok,Bolinda/Macmillan Audio
Old Man’s War,by John Scalzi,140,3,124,"Yayıncı
Tor Science Fiction",İngilizce,Sayfa sayısı bilgisi yok,Forge
One second after,by William R. Forstchen ve Joe Barrett,103,11,26,2009,İngilizce,350,Forge
S.O.S.SOURIS EN ORBITE ! N°67,by Elisabetta Dami,78,3,16,"Oct 02, 2013",İngilizce,128,ALBIN MICHEL
Scythe,by Neal Shusterman,406,22,33,"Sep 09, 2020",İngilizce,677,Thorndike Striving Reader
Renegades,by Marissa Meyer,133,5,15,2017,İngilizce,556,Feiwel and Friends
Wild Seed,by Octavia E. Butler,67,6,17,"December 1, 1988",İngilizce,279,Grand Central Publishing
Por qué no hablo con blancos sobre racismo,by Reni Eddo-Lodge ve Ana Camallonga,115,1,23,"Jan 20, 2021",Fransızca,256,Ediciones Península
The ones who walk away from Omelas,by Ursula K. Le Guin,301,11,40,1993,İngilizce,32,Creative Education
Harrow The Ninth,by Tamsyn Muir,68,3,35,2020,Dil bilgisi yok,Sayfa sayısı bilgisi yok,Tordotcom
Binti,by Nnedi Okorafor,106,3,56,2015,Dil bilgisi yok,Sayfa sayısı bilgisi yok,Tor.com
Book of Life,by Deborah E. Harkness,125,2,23,"July 15, 2014",İngilizce,561,"Viking, 1st edition"
Wicked Lovely,by Melissa Marr,91,2,18,"June 12, 2007",İngilizce,336,HarperTeen
Children of Time,by Adrian Tchaikovsky,272,7,86,2018,İngilizce,640,Orbit
Unravel Me,by Tahereh Mafi,1015,70,85,"Feb 05, 2013",İngilizce,480,HarperCollins
Mortal Engines,a novel,98,5,9,2003,İngilizce,310,HarperCollins
Nimona,by N.D. Stevenson,144,4,20,"May 22, 2015",Fransızca,272,Dargaud
Defy Me,by Tahereh Mafi,335,12,28,"Apr 02, 2019",İngilizce,368,HarperCollins
2312,by Kim Stanley Robinson,64,2,22,"May 01, 2012",Dil bilgisi yok,Sayfa sayısı bilgisi yok,Orbit
Altered Carbon,A Takeshi Kovacs Novel (Takeshi Kovacs Novels),111,3,67,"February 28, 2006",İngilizce,544,Del Rey
The Host,A Novel,100,6,49,"May 6, 2008",İngilizce,999,"Little, Brown and Company"
The Sandman,Endless Nights,96,22,0,"September 1, 2004",İngilizce,160,Vertigo
İlkbahar Şafağı Ejderhaları,"by Margaret Weis, Tracy Hickman, Andrew Dabb ve Paul Boehmer",30,4,42,"Oct 29, 2016",Türkçe,432,Thaki
The lost stradivarius,by John Meade Falkner,4,2,0,1896,İngilizce,239,D. Appleton and Co.
Gideon the Ninth,by Tamsyn Muir,311,10,73,"September 10, 2019",İngilizce,448,Tordotcom
Stalking Jack the Ripper,by Kerri Maniscalco,158,5,14,2016,İngilizce,326,Tordotcom
The High King,by Lloyd Alexander,38,31,0,1968,İngilizce,285,"Holt, Rinehart and Winston"
Maximum Ride,the final warning,62,16,0,2009,İngilizce,Sayfa sayısı bilgisi yok,Thorndike Press
Burn witch burn.,"by A. Merritt, Abraham Merritt, A. Merritt ve A. Merritt Merritt",9,2,0,1971,İngilizce,Sayfa sayısı bilgisi yok,Stacey
Triplanetary,"by E. D. Smith, Edward Elmer Smith, Frederick E. Smith, E. E. Smith, Edward E. Smith, “Doc” E.E. Smith, E. E. &quot;Doc&quot; Smith, E. E. Smith, E.E. ""Doc Smith, Edward Elmer Smith, Edward ""Doc"" Smith ve Edward Doc"" Smith",21,17,0,2020,İngilizce,Sayfa sayısı bilgisi yok,Standard Ebooks
One dimensional man,studies in the ideology of advanced industrial society.,55,6,0,1964,İngilizce,260,Routledge & K. Paul
De jongens uit Brazilië,by Ira Levin,63,4,12,1996-06,Felemenkçe,233,Zwarte Beertjes
Daemon,by Daniel Suarez,101,3,56,8Jan2009,İngilizce,448,Dutton Adult
All Systems Red: The Murderbot Diaries,by Martha Wells,132,5,59,5/2/2017,İngilizce,158,Tor
Kuyruklu Yıldız Geliyor,by Tove Jansson,52,1,14,2010,Türkçe,160,Ayrıntı Yayınları
Thunderhead,by Neal Shusterman,143,4,23,"Apr 10, 2018",Dil bilgisi yok,Sayfa sayısı bilgisi yok,Audible Studios on Brilliance Audio
A Vida Compartilhada em uma Admiravel Orbita Fechada,by Becky Chambers,39,1,53,2018,Portekizce,Sayfa sayısı bilgisi yok,Darkside
To Your Scattered Bodies Go,by Philip José Farmer,54,36,0,"March 15, 1976",İngilizce,Sayfa sayısı bilgisi yok,Berkley
Rogue Protocol,The Murderbot Diaries,34,1,96,2018,İngilizce,Sayfa sayısı bilgisi yok,"Doherty Associates, LLC, Tom"
Uglies,by Scott Westerfeld,273,7,40,2005,İngilizce,425,Simon Pulse
The House of the Scorpion,by Nancy Farmer,98,3,25,May 2004,İngilizce,Sayfa sayısı bilgisi yok,Atheneum Books for Young Readers
Dream Country,"by Neil Gaiman, Jill Thompson ve Bryan Talbot",38,1,50,"September 24, 1991",İngilizce,160,Vertigo
Restore Me (Shatter Me),by Tahereh Mafi,596,32,40,"Jul 10, 2018",Dil bilgisi yok,Sayfa sayısı bilgisi yok,electric monkey uk
Spin,by Robert Charles Wilson,60,41,0,2005,İngilizce,364,Tor Books
Das geraubte Leben des Waisen Jun Do,by Adam Johnson,67,3,13,2013,Almanca,687,Suhrkamp
I Have No Mouth and I Must Scream,by Harlan Ellison,340,4,42,1974,İngilizce,175,Pyramid Books
Unite Me,by Tahereh Mafi,220,15,17,2014,İngilizce,224,HarperCollins
I sing the body electric!,Stories,55,3,11,1969,İngilizce,305,Alfred A. Knopf
The city & the city,by China Miéville,78,2,38,2009,İngilizce,Sayfa sayısı bilgisi yok,Del Rey Ballantine Books
Life As We Knew It,by Susan Beth Pfeffer,121,7,14,"May 1, 2008",İngilizce,360,Harcourt Paperbacks
Unwind,by Neal Shusterman,273,22,57,"November 6, 2007",İngilizce,352,Simon & Schuster Children's Publishing
Little Fuzzy,by H. Beam Piper,23,1,17,2017,İngilizce,Sayfa sayısı bilgisi yok,Standard Ebooks
The Moon Endureth,by John Buchan,3,0,0,"Mar 23, 2017",İngilizce,260,"Createspace Independent Publishing Platform, CreateSpace Independent Publishing Platform"
1984,by Michael Dean ve George Orwell,382,29,32,2003,İngilizce,72,Pearson Education
Todos los Weyrs de Pern,by Anne McCaffrey ve Mel Foster,56,4,23,1993,İspanyolca,502,Acervo
Network Effect,A Murderbot Novel,68,1,74,2020,İngilizce,352,"Doherty Associates, LLC, Tom"
A Place So Foreign and 8 More,by Cory Doctorow,127,13,11,2003,İngilizce,243,Four Walls Eight Windows
Authority (The Southern Reach Trilogy),by Jeff VanderMeer,47,3,52,"Feb 14, 2001",Dil bilgisi yok,Sayfa sayısı bilgisi yok,Fourth Estate Ltd
Uprooted: A Novel,by Naomi Novik,111,7,63,"Mar 01, 2016",İngilizce,464,Del Rey
Artemis Fowl,The Time Paradox,61,2,13,"Apr 01, 2011",İngilizce,464,Puffin Books
Shatter Me Complete Collection,"Shatter Me, Destroy Me, Unravel Me, Fracture Me, Ignite Me",1373,66,25,2014,İngilizce,1327,HarperCollins Publishers Limited
Moon Rising,Wings of Fire #6,84,3,21,2015,İngilizce,298,"Scholastic Press, Scholastic Inc."
The Brightest Night,Wings of Fire #5,93,8,23,"Apr 28, 2015",İngilizce,336,Scholastic Paperbacks
Double star,by Robert A. Heinlein,41,2,23,1978,İngilizce,186,Gregg Press
Demain les chiens,by Clifford D. Simak,45,1,13,"February 18, 2002",Fransızca,Sayfa sayısı bilgisi yok,J'ai lu
Among the Hidden,Shadow Children #1,135,14,10,1998,İngilizce,153,Simon & Schuster Books for Young Readers
Good for Me and You,(Little Critter),238,11,32,"December 28, 2004",İngilizce,24,HarperFestival
Vzgliad s navetrennoi storony,by Iain M. Banks,35,4,47,2003,Rusça,317,AST
The Program,by Suzanne Young,81,7,21,2013,Dil bilgisi yok,Sayfa sayısı bilgisi yok,Simon Pulse
Fracture Me,by Tahereh Mafi,123,3,13,2013,İngilizce,68,HarperCollins Publishers Limited
Worms of the Earth (Bran Mak Morn),by Robert E. Howard,1,0,0,1977,İngilizce,194,Zebra Books
Amarás a un estraño,by Tahereh Mafi,585,33,24,2012,İngilizce,111,HarperCollins Publishers Limited
The Dark Tower VII,The Dark Tower,51,5,10,2004,İngilizce,704,Hodder & Stoughton
Ender in Exile,by Orson Scott Card,49,1,36,2008,İngilizce,377,Tor
Illuminae,by Amie Kaufman ve Jay Kristoff,70,4,17,2015,"Pages 599",Sayfa sayısı bilgisi yok,"Dil İngilizce"
"My Hero Academia, Vol. 1",Izuku Midoriya: Origin,155,8,24,"November 4, 2014",İngilizce,187,Shueisha
The Lost Metal,by Brandon Sanderson,78,1,21,2022,İngilizce,Sayfa sayısı bilgisi yok,Tor
I Am Number Four,by Pittacus Lore,93,2,19,2010,İngilizce,Sayfa sayısı bilgisi yok,Harper Collins
Forbidden knowledge,from Prometheus to pornography,153,9,9,1996,İngilizce,369,St. Martin's Press
the 5th wave,by Rick Yancey,100,8,15,"May 7, 2013",Dil bilgisi yok,Sayfa sayısı bilgisi yok,Penguin Group
Tau Zero,by Poul Anderson,70,5,3,"February 9, 2006",İngilizce,192,Unknown
The Vampire Diaries,The Struggle,150,8,14,"August 25, 2009",İngilizce,56,HarperTeen
The marrow thieves,by Cherie Dimaline,126,8,8,2017,İngilizce,234,"Dancing Cat Books, an imprint of Cormorant Books Inc."
Almuric,by Robert E. Howard,1,0,0,"December 31, 2007",İngilizce,160,"Paizo Publishing, LLC"
Fledgling,"by Octavia E. Butler, Tracey Leigh, Nisi Shawl ve Philippe Rouard",63,24,0,2005,İngilizce,Sayfa sayısı bilgisi yok,Seven Stories Press
Anthem,by Ayn Rand,0,0,0,2018,İngilizce,56,CreateSpace Independent Publishing Platform
Flatland,a Romance of Many Dimensions,0,0,0,2018,İngilizce,102,CreateSpace Independent Publishing Platform
Die Physik des Unmöglichen,"Beamer, Phaser, Zeitmaschinen",77,6,10,2008,Almanca,414,Rowohlt Taschenbuch
ПОЧТАЛЬОН,by David Brin,44,1,31,1998,Rusça,350,"""Vagrius"", ""Aleksandr Korzhenevskii """
The Merchant of Death,Pendragon #1,59,8,20,"February 6, 2007",İngilizce,384,Simon & Schuster Children's Publishing
Saga,Volume One,39,2,68,2012,İngilizce,160,Image Comics
The Science Fiction Hall of Fame,Volume One,63,3,9,1970,İngilizce,Sayfa sayısı bilgisi yok,"Doubleday & Company, Inc."
The Norsemen in the West,America before Columbus,1,0,0,1872,İngilizce,224,Musson
Diaspora,A Novel,58,7,23,"Jan 06, 2015",İngilizce,352,"Night Shade, Night Shade Books"
Red Queen,by Victoria Aveyard,397,27,50,2015,İngilizce,388,"Orion Books, Harperteen, HarperTeen"
When the Sleeper Wakes,by H. G. Wells,0,0,0,2016,İngilizce,Sayfa sayısı bilgisi yok,Barnes & Noble Press
Matahari,by Tere Liye,185,20,25,"Jul 29, 2016",İngilizce,400,Gramedia Pustaka Utama
Lumière virtuelle,by William Gibson,34,2,40,1995,Fransızca,444,J'ai Lu
Evrene Açılan Gizli Anahtar 1,"by Stephen Hawking, Lucy Hawking ve Hugh Dancy",52,9,4,"Oct 27, 2015",Türkçe,312,Dogan Egmont Yayincilik
Brave new world revisited,by Aldous Huxley,51,2,14,1958,İngilizce,118,Perennial Library
Wolkenkuckucksland,by Anthony Doerr ve Laura Vidal Sanz,76,11,0,2021,Almanca,Sayfa sayısı bilgisi yok,C. H. Beck
To Say Nothing of the Dog,by Connie Willis,61,2,21,"December 1, 1998",İngilizce,512,Bantam
Kılavuz,by Clive Cussler ve Paul Kemprecos,48,4,24,"Nov 03, 2008",Türkçe,Sayfa sayısı bilgisi yok,Altin Kitaplar
History of Florence,From the Earliest Times to the Death of Lorenzo the Magnificent,0,0,0,1901,İngilizce,444,The Colonial Press
The Last Colony,by John Scalzi,24,74,0,"July 29, 2008",İngilizce,336,Tor Science Fiction
Gregor,la profezia del flagello,52,2,22,2013,İtalyanca,285,Mondadori
Kaybolan Şimşek Gibi,by Ada Palmer,62,1,22,2020,Türkçe,632,Eksik Parça Yayınları
Glory Road,by Robert A. Heinlein,40,1,17,1981,İngilizce,Sayfa sayısı bilgisi yok,New English Library
Bitten,by Kelley Armstrong ve Aasne Vigesaa,52,3,25,2003,İngilizce,384,Plume
The Hitch Hiker's Guide to the Galaxy,A Trilogy in Four Parts,68,9,20,1993,İngilizce,589,Heinemann
Sixth Column,by Robert A. Heinlein,45,2,12,1999,İngilizce,256,Baen
Make Room! Make Room!,by Harry Harrison,64,2,14,"September, 1984",İngilizce,309,Ace
Winter,by Marissa Meyer,81,5,10,2016,İngilizce,Sayfa sayısı bilgisi yok,"Thorndike Press, a part of Gale, Cengage Learning"
The puppet masters ; Waldo ; Magic Inc.,by Robert A. Heinlein,59,2,22,1984,İngilizce,Sayfa sayısı bilgisi yok,New English Library
Women on top,How Real Life Has Changed Women's Sexual Fantasies,69,6,3,1991,İngilizce,460,Simon & Schuster
Tiamat's Wrath,by James S. A. Corey,32,1,59,2019-26-03,İngilizce,544,Orbit Books
The number of the beast,by Robert A. Heinlein,58,1,18,1981,İngilizce,555,New English Library
Star Wars Thrawn Alianzas,by Timothy Zahn,74,21,0,"Jun 30, 2020","Pages 416",Sayfa sayısı bilgisi yok,Planeta Cómic
Stranger in a Strange Land,by Robert A. Heinlein,22,3,3,1970,İngilizce,418,Berkley Publishing Corp.
Endymion,by Dan Simmons,39,1,42,2008,Fransızca,349,Pocket
The Cave Girl,by Edgar Rice Burroughs,2,0,0,September 1992,İngilizce,Sayfa sayısı bilgisi yok,Ballantine Books
Blood music,by Greg Bear ve George Guidall,48,2,24,1985,İngilizce,262,Arbor House
A Gathering of Shadows,by V. E. Schwab ve Julieta María Gorlero,51,1,31,2016,İngilizce,509,"A Tom Doherty Associates Book, Tom Doherty Associates, LLC"
Rocannon's World,by Ursula K. Le Guin ve Rafael Marín,52,1,20,August 1982,İngilizce,541,Ace Books
Of Fire and Stars,by Audrey Coulthurst,86,4,7,2016,İngilizce,Sayfa sayısı bilgisi yok,Balzer + Bray
Nevermore,The Final Maximum Ride Adventure,69,8,0,2014,İngilizce,Sayfa sayısı bilgisi yok,Paw Prints
Giants - Zorn der Götter,Roman,55,1,35,"May 09, 2017",İngilizce,482,Heyne Verlag
Invitation to the Game,by Monica Hughes,77,7,12,"June 1, 1993",İngilizce,192,Simon Pulse
Severance,by Ling Ma,86,1,17,2018,İngilizce,291,"Farrar, Straus and Giroux"
The Road to Wigan Pier,by George Orwell,43,2,4,1958,İngilizce,402,"Harcourt, Brace and Company"
Pandemonium,by Lauren Oliver,68,1,26,2012,İngilizce,384,"HarperTeen, Harpercollins, HarperCollins"
The Fever Code,by James Dashner,84,1,13,2016,İngilizce,329,Chicken House
Die Geschichte von Zeb,by Margaret Atwood,52,2,24,2021,Almanca,324,Piper
"The Ear, the Eye, and the Arm",by Nancy Farmer,76,5,0,2004,İngilizce,311,Orchard Books
The language of the night,essays on fantasy and science fiction,78,4,3,1979,İngilizce,270,Putnam
Ancillary Sword,by Ann Leckie,30,2,63,October 2014,İngilizce,400,Orbit
Ghost stories of an antiquary,by Montague Rhodes James,27,5,0,1971,İngilizce,152,Dover Publications
The City and the Stars,by Arthur C. Clarke,54,5,15,December 1957,İngilizce,191,New American Library
Downbelow Station (Alliance-Union Universe),by C. J. Cherryh,58,3,19,"Dec 02, 2008",İngilizce,432,DAW
Star Wars,by George Lucas ve Alan Dean Foster,67,1,6,"August 12, 1982",İngilizce,302,Del Rey
Cebirci,by Iain M. Banks,44,1,32,"Oct 29, 2014",Türkçe,187,Ithaki Yayinlari
The Wishsong of Shannara,by Terry Brooks,47,2,26,"Dec 01, 2015",İngilizce,576,Del Rey
Carpe Jugulum,by Terry Pratchett,34,2,21,2000,İngilizce,378,HarperTorch
Accelerando,by Charles Stross,42,1,43,2005,Dil bilgisi yok,315,Ace Books/Orbit Books
Midwich Cuckoos,by John Wyndham,41,4,16,June 1983,İngilizce,312,John Curley & Assoc
Abhorsen,by Garth Nix,31,32,0,2003,İngilizce,358,HarperCollinsPublishers
Repossessed,A Fallen Angel Becoming A Body,67,6,12,2007,İngilizce,218,HarperTeen
Planet der Frauen,by Joanna Russ,65,11,0,1979-01,Almanca,192,Knaur
Imajica,by Clive Barker ve Clive Barker,61,3,10,"October 15, 1992",İngilizce,864,HarperTorch
Art of Starving,by Sam J. Miller,85,4,3,2017,İngilizce,211,HarperCollins Publishers
L'anneau monde,by Larry Niven,25,2,45,1999,Fransızca,381,J'ai Lu
Sundiver,by David Brin ve George Wilson,45,1,26,"January 1, 1985",İngilizce,368,Spectra
The bone clocks,by David Mitchell,49,1,34,2015,"Pages 825",332,"Dil İngilizce"
Los renegados de Pern,by Anne McCaffrey,51,2,12,1992,İspanyolca,404,Acervo
Animorphs,L'OSPITE #2,51,2,23,1998,İtalyanca,Sayfa sayısı bilgisi yok,Mondadori
Fantastic Voyage,by Isaac Asimov,46,2,18,1975-10,İngilizce,Sayfa sayısı bilgisi yok,Bantam Books
The Minority Report (Collected Stories of Philip K. Dick),by Philip K. Dick ve Hélène Collon,50,2,27,"Aug 31, 2013",İngilizce,472,Subterranean
The drowned world,by J. G. Ballard,51,5,16,1981,İngilizce,158,Dragon's Dream
All the Birds in the Sky,by Charlie Jane Anders,62,29,0,"Mar 15, 2016",İngilizce,122,"Recorded Books, Inc. and Blackstone Publishing"
The power of Six,by Pittacus Lore,73,2,15,2011,İngilizce,Sayfa sayısı bilgisi yok,HarperCollins
Idoru,by William Gibson,22,41,0,"September 1, 1997",İngilizce,400,Berkley
Shards of Honor,by Lois McMaster Bujold,57,2,30,"June 1, 1986",İngilizce,254,Baen Books
Tricksters Choice Aliane Hardcover,by Tamora Pierce,60,1,24,2004,Dil bilgisi yok,Sayfa sayısı bilgisi yok,Perfection Learning
Les enfers virtuels,by Iain M. Banks,37,6,39,2013,Fransızca,860,Librairie générale française
Things not seen,by Andrew Clements,66,9,10,October 2002,Dil bilgisi yok,187,"scholastic, Puffin/Penguin"
L' autobus magique perdu dans l'espace,by Joanna Cole,57,3,12,1991,Fransızca,40,Scholastic Canada
"Faithless, Karin Slaughter",by Karin Slaughter,58,4,14,2011,İngilizce,117,Arrow books
The Inheritors,by William Golding,55,2,0,"April 30, 2005",İngilizce,240,Faber & Faber
Rainbows End,by Vernor Vinge,39,42,0,"April 3, 2007",İngilizce,400,Tor Science Fiction
Magister Ludi.,by Hermann Hesse,12,2,15,1957,İngilizce,502,F. Ungar Pub. Co.
Rouge rubis,"by Kerstin Gier, Anthea Bell, Nelly Lemaire ve Luis Miralles de Imperial",46,2,21,2011,Fransızca,349,Milan
Ulus,by Terry Pratchett ve Stephen Briggs,32,1,25,2009,Türkçe,440,Tudem
The Chessmen of Mars,by Edgar Rice Burroughs,0,0,0,"Jan 13, 2013",İngilizce,160,CreateSpace Independent Publishing Platform
Shadow Puppets,by Orson Scott Card,32,46,0,2002-08,İngilizce,Sayfa sayısı bilgisi yok,TOR
The Forgotten Beasts of Eld,by Patricia A. McKillip,57,3,15,"Sep 19, 2017",İngilizce,240,Tachyon Publications
The Magic School Bus (1-11)(Chinese Edition),by Joanna Cole,50,2,12,2011-01-01,Çince,42,Guizhou People's Press
House of stairs.,by William Sleator,72,2,18,1974,İngilizce,166,Dutton
Exhalation,Stories,72,3,17,"May 07, 2019",İngilizce,368,"Knopf, Alfred A. Knopf"
Quan quan li de zong se nu hai,by Nalo Hopkinson,67,7,0,2011,Dil bilgisi yok,Sayfa sayısı bilgisi yok,"DilÇince"
Champion,"by Marie Lu, Steven Kaplan ve Mariel Stern",63,3,13,"Feb 16, 2014",İngilizce,416,Speak
Der Unbesiegbare,utop. Roman,52,2,14,1981,Almanca,157,Fischer-Taschenbuch-Verlag
The songs of distant earth,by Arthur C. Clarke,54,1,21,1986,İngilizce,256,"Ballantine Books, Ballantine Del Rey"
Marte azul - 1. edición.,by Kim Stanley Robinson ve Ana Quijada,30,1,27,2008,Fransızca,369,Minotauro
Wilder Girls,by Rory Power,77,8,0,2019,İngilizce,Sayfa sayısı bilgisi yok,Random House Publishing Group
Toi l'immortel,by Roger Zelazny,37,3,19,2004,Fransızca,280,Gallimard
Riddley Walker,a novel,56,3,9,1980,İngilizce,220,Summit Books
The wonderful flight to the Mushroom Planet,by Eleanor Cameron,55,12,12,1954,İngilizce,195,"Little, Brown"
I Am Number Four,by Pittacus Lore,72,5,13,2010,Dil bilgisi yok,Sayfa sayısı bilgisi yok,Harper
The Deep,by Nick Cutter,67,4,11,August 2015,İngilizce,502,Pocket Books
Rama II,by Arthur C. Clarke ve Gentry Lee,33,3,37,"August 22, 1991",İngilizce,496,Orbit
Leviathan,by Scott Westerfeld,58,3,27,2009,İngilizce,Sayfa sayısı bilgisi yok,Simon Pulse
"El Capitán Calzoncillos y la feroz batalla contra el niño mocobiónico, 2a parte",la venganza de los ridículos mocorobots : la séptima novela ́epica,48,9,0,2004,İspanyolca,173,Scholastic
A Song of Ice and Fire - Premium Limited Edition,by George R. R. Martin,86,5,2,"Jan 01, 2015",İngilizce,77,HarperCollins
Entremonde,"by Neil Gaiman, Michael Reaves ve Reaves",57,3,9,"Oct 28, 2010",Dil bilgisi yok,Sayfa sayısı bilgisi yok,Au Diable Vauvert
Conan,o povo do círculo negro,57,2,9,2008,Portekizce,189,Edições Saída de Emergência
"Deadhouse Gates (The Malazan Book of the Fallen, Book 2)",by Steven Erikson,29,2,37,"February 7, 2005",İngilizce,864,Tor Fantasy
The Star Rover,by Jack London,22,1,3,1969,İngilizce,Sayfa sayısı bilgisi yok,Macmillan Company
Chateau de lord valentin t2 ****,by Robert Silverberg,40,2,20,"Jun 27, 2000",İngilizce,352,"J'AI LU, J'ai lu"
L'Épée de Vérité tome 7 - Les piliers de la création,by Terry Goodkind,29,1,25,"Oct 03, 2008",Dil bilgisi yok,Sayfa sayısı bilgisi yok,Quebec Loisirs
The Skylark of Space,by Edward Elmer Smith ve Lee Hawkins Garby,29,8,0,2022,İngilizce,Sayfa sayısı bilgisi yok,Standard Ebooks
The State Of The Art,by Iain M. Banks,33,1,41,"April 11, 2007",İngilizce,188,Night Shade Books
Fang,by James Patterson ve Jill Apple,53,3,11,2010,İngilizce,309,"Arrow, Young Arrow"
Beyond This Horizon,by Robert A. Heinlein,40,2,5,2014,İngilizce,240,Baen
Time out of joint,by Philip K. Dick,48,1,19,1979,İngilizce,255,Dell
Némésis,by Isaac Asimov,38,26,0,"Aug 24, 1991",Fransızca,Sayfa sayısı bilgisi yok,France Loisirs
"Again, Dangerous Visions","by Harlan Ellison, John Heidenry, Ross Rocklynne, Ursula K. Le Guin, Andrew J. Offutt, Gene Wolfe, Ray Nelson, Ray Bradbury, Chad Oliver, Edward Bryant, Kate Wilhelm, James B. Hemesath, Joanna Russ, Kurt Vonnegut, T. L. Sherred, K. M. O'Donnell, H. H. Hollis, Bernard Wolfe, David Gerrold, Piers Anthony, Lee Hoffman, Gahan Wilson, Joan Bernott, Gregory Benford, Evelyn Lief, James Sallis, Josephine Saxton, Ken McCullough, David Kerr, Burt K. Filer, Richard Hill, Leonard Tushnet, Ben Bova, Edward Gorman, James Blish, A. Parra, Thomas M. Disch, Richard A. Lupoff, John Harrison, Robin Scott, Andrew Weiner, Terry Carr, James Tiptree, Jr. ve Dean Koontz",64,3,3,"May 19, 2009",İngilizce,754,e-reads.com
American Indian Stories,Large Print Edition,10,0,0,2022,İngilizce,228,"West Margin Press, Mint Editions"
Wolf Brother (Chronicles of Ancient Darkness),by Michelle Paver ve Patricia Anton De Vez Ayala-Duarte,61,3,7,"May 27, 2005",İngilizce,256,Orion Children's Books (an Imprint of The Orion Publishing Group Ltd )
The cat who walks through walls,A comedy of manners,48,2,24,1986,İngilizce,374,New English Library
Farnham's Freehold,by Robert A. Heinlein,33,2,16,2006,İngilizce,304,"Baen, Baen Pub., Distributed by Simon & Schuster"
