Kitap Adı,Yazar,Okumak İsteyenler,Şu Anda Okuyanlar,Okumuş Olanlar,Zaman,Dil,Sayfa Sayısı,Yayıncı
Oryx si Crake,by Margaret Atwood,183,7,66,2008,Rumence,328,Editura Leda
夏之門,by Robert A. Heinlein,103,4,29,2003,Çince,267,"Mai tian chu ban, Cheng bang wen hua fa xing"
De mistmonsters,het verslag van de Arabische diplomaat Ibn Fadlan over zijn huiveringwekkende ervaringen in 922 met de barbaarse Vikingen en de gruwelijke eters van dodenvleesʺ,123,3,30,1977,Felemenkçe,152,Elsevier
Ucube Kocakarilar,by Terry Pratchett,109,5,92,2002,Türkçe,379,Ithaki Yayinlari
卡拉之狼,by Stephen King,280,15,185,2007,Çince,598,Ren min wen xue chu ban she
Einfach göttlich,Ein Roman von der bizarren Scheibenwelt,139,4,95,2000,Almanca,376,Goldmann
Rougemuraille,Les Ombrenards,273,21,67,"February 15, 2003",Fransızca,480,Mango jeunesse
The princess and Curdie,by George MacDonald,43,1,5,1908,İngilizce,304,J.B. Lippincott
The warlord of Mars,"by Edgar Rice Burroughs, Aberdeen Press, Jim Killavey ve Paula Paula",31,3,15,1919,İngilizce,296,A.C. McClurg & Co.
De Russische connectie,by Eoin Colfer,68,6,25,2002,Felemenkçe,252,Vassallucci
"That Hideous Strength (Space Trilogy, Book 3)",by C.S. Lewis,79,6,25,"May 6, 2003",İngilizce,384,Scribner
İşte Tanrılar,by Isaac Asimov,164,6,66,1985,Türkçe,342,Altin Kitaplar
Beni Asla Birakma,by Kazuo Ishiguro,500,27,108,2007,Türkçe,272,Yapı Kredi Yayınları
El Capitan Calzoncillos Y LA Invastion De Las Horribles Camareras,Y El Subsiguiente Asalto De Los Igual De Horribles Z (Captain Underpants),112,9,12,August 2002,İspanyolca,134,Tandem Library
Vakıf Ve Dünya,by Isaac Asimov,96,5,98,1990,Türkçe,277,İnkilap Yayınevi
Understanding media,the extensions of man,126,9,8,1964,331,318,"New American Library, The New American Library"
La prova decisiva,by Lee Child,111,5,42,2018,İtalyanca,118,Tea
Toz Gibi Yıldızlar-Galaktik İmparatorluk Serisi 1,by Isaac Asimov ve Stephen Thorne,85,3,46,"Oct 29, 2018",Türkçe,272,Ithaki Yayinlari
"Out of the Silent Planet (Space Trilogy, Book One)",by C.S. Lewis,181,9,52,"March 4, 2003",İngilizce,160,Scribner
Piramitler,by Terry Pratchett,63,4,79,2002,Türkçe,165,Ithaki
Song of Susannah,by Stephen King,138,11,90,2004,İngilizce,413,Donald M. Grant
Ciekawe czasy,by Terry Pratchett,74,2,69,1994,Lehçe,417,Prószyński i S-ka
Player Piano,by Kurt Vonnegut,110,5,47,"January 12, 1999",İngilizce,341,The Dial Press
Die geliehene Zeit,by Diana Gabaldon,109,10,18,2004,Almanca,901,Blanvalet Taschenbuchverl
Divergent,by Veronica Roth,1324,101,283,2014,İngilizce,301,"HarperCollinsPublishers, HarperCollins Children's Books"
Myrkkyvyöhyke,by Arthur Conan Doyle,34,2,7,2017-02-12,Fince,317,Project Gutenberg
De oversteek,by Justin Cronin,219,7,49,2016,Felemenkçe,994,Cargo
La Guerre eternelle,by Joe Haldeman,178,4,114,1985,Fransızca,281,J'ai lu
Prelude a foundation,by Isaac Asimov,86,5,40,1989,Fransızca,113,France Loisirs
Georgias,by Πλάτων,36,2,7,1891,İngilizce,118,Ginn & company
Pebble in the Sky,by Isaac Asimov,101,6,58,1983-11,İngilizce,231,Ballantine
The Book of Three,by Alexander ve Lloyd Alexander,136,9,40,1964,İngilizce,217,"Holt, Rinehart and Winston"
Şafaĝın robotlari,by Isaac Asimov,82,9,71,1984,Türkçe,235,Altin Kiteplar yayineu
Duma,by Stephen King,190,11,70,2008-07,Felemenkçe,624,Luitingh
Snow crash,by Neal Stephenson,302,21,215,1993,İngilizce,470,Bantam Books
L'Aube de fondation,by Isaac Asimov,74,2,74,1993,Fransızca,451,Presses De La Cité
At the earth's core,by Edgar Rice Burroughs,28,3,9,1914,İngilizce,152,Doubleday
Der Riss im Raum,by Madeleine L'Engle,148,15,47,1989,Almanca,204,Dt. Taschenbuch-Verl.
Gravity's rainbow,by Thomas Pynchon,222,10,29,1974,İngilizce,887,Bantam Books
La reine des damnes,Chroniques des vampires,177,11,55,2001-07,Fransızca,575,Oliver Orban
El club de lucha,"by Chuck Palahniuk, James Colby, Javier Calvo Perales ve Jordi Cussà Balaguer",487,31,147,2003,İspanyolca,234,Aleph Editores
Gen bencildir,by Richard Dawkins ve Lalla Ward Richard Dawkins,334,20,83,2007,Türkçe,329,TU BI TAK
2010 : odyssée deux,by Arthur C. Clarke,45,4,60,"Jun 23, 1984",İngilizce,288,"J'ai lu, J'AI LU"
Sabriël,by Garth Nix,153,4,72,"June 4, 2003",Fransızca,336,J'ai lu
Curious Case Of Benjamin Button,by F. Scott Fitzgerald,33,3,4,"Nov 27, 2008",İngilizce,154,"Penguin Classics, PENGUIN GROUP"
The House on the Borderland,by William Hope Hodgson,87,2,8,2017,İngilizce,151,Standard Ebooks
Vlucht naar de top,by Stephen King,140,8,51,2001,Felemenkçe,238,Poema Pocket
L'ombra della profezia,by George R. R. Martin,174,8,135,2009,İtalyanca,476,Mondadori
Insurgente,by Veronica Roth ve Gemme,392,37,162,2013,İspanyolca,463,Oceáno de México
Tanrılar ve imparatorlar,by Isaac Asimov,54,4,36,1984,Türkçe,313,Altin Kitaplar
La Voix des morts,by Orson Scott Card,113,10,137,2002,Fransızca,119,J'ai lu
Les Fils De L'Homme,by P. D. James,77,2,22,"September 1, 1995",Fransızca,311,Livre de Poche
另有隱情,by Terry Pratchett,62,3,51,2013,Çince,379,"Ji mo chu ban, Kou ying gong si jing xiao"
